1, 3, 3, 2, 2, 2, 3, 1, 4, 3, 3, 4, 2, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 5, 2, 6, 2, 3, 3, 4, 3, 2, 7, 5, 3, 3, 4, 5, 5, 5, 2, 9, 5, 7, 2, 4, 6, 2, 2, 4
3, 3, 2, 2, 6, 2, 4, 4, 3, 4, 2, 2, 3, 4, 2, 3, 3, 3, 5, 3, 3, 3, 3, 6, 2, 10, 9, 5, 6, 4, 3, 4, 3, 6, 4, 4, 4, 6, 3, 6, 5, 8, 9, 14, 7, 5, 2, 2, 3, 5, 2
4, 3, 9, 2, 6, 1, 4, 3, 4, 3, 1, 2, 6, 3, 6, 4, 5, 8, 8, 5, 3, 3, 3, 34, 48, 15, 20, 3, 5, 2, 1, 4, 4, 9, 7, 2, 4, 5, 3, 8, 5, 7, 5, 27, 4, 4, 8, 18, 11, 6, 4
6, 16, 6, 21, 11, 4, 17, 4, 11, 3, 4, 6, 7, 15, 9, 6, 23, 4, 7, 9, 5, 4, 4, 12, 6, 3, 43, 37, 112, 10, 7, 3, 4, 17, 5, 4, 5, 10, 40, 7, 3, 10, 4, 4, 9, 10, 5, 14, 155, 8, 2
3, 98, 169, 85, 3, 10, 37, 202, 84, 8, 2, 8, 95, 11, 7, 3, 17, 190, 254, 11, 1, 7, 255, 124, 48, 11, 93, 227, 227, 78, 3, 4, 181, 238, 125, 3, 7, 10, 188, 160, 6, 79, 38, 59, 60, 9, 39, 232, 132, 15, 7
8, 47, 121, 79, 4, 4, 5, 9, 5, 5, 29, 88, 149, 147, 38, 10, 8, 156, 27, 4, 13, 10, 157, 64, 29, 6, 12, 8, 5, 169, 9, 7, 5, 87, 6, 7, 5, 5, 132, 86, 16, 4, 62, 60, 42, 7, 21, 5, 7, 6, 2
3, 2, 8, 3, 5, 4, 5, 6, 6, 8, 9, 3, 7, 38, 6, 4, 5, 4, 17, 2, 4, 12, 6, 6, 2, 6, 12, 3, 4, 9, 5, 2, 12, 4, 5, 6, 9, 4, 72, 68, 5, 42, 85, 14, 4, 3, 6, 10, 5, 2, 3
2, 3, 2, 3, 3, 3, 3, 2, 5, 3, 3, 14, 3, 5, 3, 3, 3, 5, 2, 5, 4, 2, 5, 7, 4, 2, 4, 6, 1, 4, 4, 4, 3, 4, 2, 3, 3, 3, 5, 10, 4, 5, 5, 5, 5, 4, 3, 3, 4, 3, 2
2, 4, 2, 3, 2, 1, 2, 4, 3, 2, 2, 5, 4, 4, 3, 2, 2, 2, 2, 4, 3, 9, 4, 4, 1, 2, 6, 13, 6, 4, 3, 3, 5, 2, 4, 2, 5, 3, 3, 4, 8, 12, 6, 5, 4, 5, 3, 3, 4, 3, 2
3, 3, 17, 19, 6, 2, 3, 8, 10, 2, 3, 3, 4, 2, 4, 3, 4, 15, 11, 2, 2, 4, 17, 5, 5, 3, 1, 13, 19, 6, 2, 3, 29, 27, 4, 3, 3, 16, 13, 4, 3, 2, 30, 50, 3, 2, 2, 24, 23, 4, 2
